time,phiDeg,thetaDeg,psiDeg,omegaX,omegaY,omegaZ,wheel1,wheel2,wheel3,wheel4,uX,uY,uZ
638,-0.555627605837231,-0.260485007348054,0.195569339392287,2.39886610266475e-05,1.15045509303186e-05,-8.82319432075187e-06,8.53679876232055e-05,2.0116911043679e-05,-5.76464477188493e-05,2.76195425324628e-05,-0.000101314137939217,-3.60630613596907e-05,4.17002974028376e-05
639,-0.554252673930092,-0.259831557408507,0.195070699859687,2.39279913185554e-05,1.14746876911267e-05,-8.80026135762123e-06,8.53083620797747e-05,2.00324103527641e-05,-5.75816043661109e-05,2.75737685394247e-05,-0.000101228084768584,-3.59521330415734e-05,4.16618816773016e-05
640,-0.552881224185232,-0.259179791387519,0.194573340912683,2.38675098007164e-05,1.14449195545692e-05,-8.77740182782869e-06,8.52491259586138e-05,1.99485293528324e-05,-5.75175652193481e-05,2.75281128496584e-05,-0.000101142489323657,-3.58418927178756e-05,4.1624201854305e-05
641,-0.55151324580009,-0.258529703984406,0.194077258525146,2.38072150026592e-05,1.14152459006563e-05,-8.75461522582563e-06,8.51902725374511e-05,1.98652609642659e-05,-5.74543197950065e-05,2.74825735473222e-05,-0.000101057343773021,-3.57323321998361e-05,4.15872485594363e-05
642,-0.550148728056129,-0.257881289932912,0.193582448698555,2.37471054765798e-05,1.13856661168791e-05,-8.73190105272547e-06,8.51317951871674e-05,1.97825981821611e-05,-5.73918577372567e-05,2.74371487397502e-05,-0.000100972640397858,-3.56234433928517e-05,4.15510125265661e-05
643,-0.548787660317541,-0.25723454400079,0.193088907461631,2.36871797970229e-05,1.13561795981323e-05,-8.7092588162209e-06,8.50736873710109e-05,1.97005340763548e-05,-5.73301688173126e-05,2.73918365574079e-05,-0.000100888371581029,-3.55152182863725e-05,4.15154846072949e-05
644,-0.547430032029972,-0.256589460989394,0.19259663086998,2.36274365605867e-05,1.13267857466289e-05,-8.68668803050363e-06,8.50159426440776e-05,1.9619061791173e-05,-5.72692429328051e-05,2.73466351538086e-05,-0.000100804529811559,-3.54076489586549e-05,4.14806557653232e-05
645,-0.546075832719264,-0.255946035733262,0.192105615005731,2.35678743856015e-05,1.12974839718259e-05,-8.66418821618341e-06,8.49585546524229e-05,1.95381745455197e-05,-5.72090701070935e-05,2.7301542705449e-05,-0.000100721107682706,-3.53007275758028e-05,4.14465170768105e-05
646,-0.544725051990212,-0.255304263099722,0.191615855977187,2.35084919118478e-05,1.12682736903406e-05,-8.64175890020792e-06,8.49015171326046e-05,1.94578656325733e-05,-5.71496404885872e-05,2.72565574117625e-05,-0.000100638097891468,-3.51944463914369e-05,4.14130597297236e-05
647,-0.543377679525343,-0.254664137988486,0.191127349918473,2.34492878002296e-05,1.12391543258753e-05,-8.61939961578382e-06,8.4844823910684e-05,1.93781284198404e-05,-5.70909443500338e-05,2.72116774949838e-05,-0.000100555493237514,-3.50887977466705e-05,4.13802750232036e-05
648,-0.542033705083704,-0.254025655331259,0.190640092989197,2.33902607324993e-05,1.12101253091279e-05,-8.59710990229314e-06,8.47884689017808e-05,1.929895634855e-05,-5.70329720875751e-05,2.71669012000877e-05,-0.000100473286622699,-3.49837740694686e-05,4.13481543666565e-05
649,-0.54069311849968,-0.253388810091346,0.190154081374108,2.33314094109468e-05,1.11811860777217e-05,-8.574889305221e-06,8.47324461091887e-05,1.92203429338598e-05,-5.69757142202947e-05,2.71222267946582e-05,-0.000100391471050107,-3.48793678747778e-05,4.13166892793767e-05
650,-0.539355909681816,-0.252753597263269,0.189669311282758,2.3272732558106e-05,1.11523360761293e-05,-8.55273737607261e-06,8.46767496235819e-05,1.91422817646786e-05,-5.69191613892527e-05,2.70776525688856e-05,-0.000100310039623251,-3.47755717643479e-05,4.12858713895834e-05
651,-0.538022068611662,-0.252120011872382,0.189185778949177,2.32142289164678e-05,1.11235747555828e-05,-8.53065367229624e-06,8.46213736224075e-05,1.90647665030518e-05,-5.68633043566577e-05,2.70331768353393e-05,-0.000100228985545341,-3.46723784259857e-05,4.12556924337238e-05
652,-0.536691585342636,-0.251488048974495,0.188703480631543,2.31558972481806e-05,1.10949015740031e-05,-8.50863775720606e-06,8.45663123689701e-05,1.89877908842058e-05,-5.68081340050899e-05,2.69887979289124e-05,-0.000100148302118332,-3.45697806335678e-05,4.12261442557279e-05
653,-0.535364449998902,-0.250857703655504,0.188222412611859,2.30977363347773e-05,1.10663159959175e-05,-8.48668919990525e-06,8.45115602118431e-05,1.89113487160858e-05,-5.67536413366561e-05,2.6944514206704e-05,-0.000100067982742267,-3.446777124651e-05,4.11972188062319e-05
654,-0.534040652774262,-0.250228971031017,0.187742571195637,2.30397449768785e-05,1.10378174923845e-05,-8.46480757520962e-06,8.44571115839634e-05,1.88354338791827e-05,-5.66998174721319e-05,2.6900324047891e-05,-9.99880209143015e-05,-3.43663432095207e-05,4.11689081417939e-05
655,-0.53272018393107,-0.249601846245995,0.187263952711584,2.29819219939114e-05,1.10094055409151e-05,-8.44299246357092e-06,8.44029610018657e-05,1.87600403261675e-05,-5.66466536500479e-05,2.6856225853603e-05,-9.99084102278608e-05,-3.42654895521625e-05,4.11412044240529e-05
656,-0.531403033799154,-0.248976324474392,0.186786553511288,2.2924266223832e-05,1.09810796253952e-05,-8.42124345100317e-06,8.43491030649343e-05,1.86851620815836e-05,-5.65941412258767e-05,2.68122180467818e-05,-9.98291443718147e-05,-3.4165203388464e-05,4.11140999189963e-05
657,-0.530089192774762,-0.248352400918794,0.186310369968918,2.28667765228392e-05,1.09528392360091e-05,-8.39956012900612e-06,8.42955324545206e-05,1.86107932414857e-05,-5.65422716710365e-05,2.67682990720386e-05,-9.97502171295105e-05,-3.40654779164756e-05,4.10875869960467e-05
658,-0.528778651319523,-0.247730070810074,0.185835398480921,2.28094517651146e-05,1.09246838691623e-05,-8.37794209449218e-06,8.42422439333057e-05,1.85369279730715e-05,-5.64910365720586e-05,2.67244673955546e-05,-9.96716223780785e-05,-3.39663064178443e-05,4.10616581272858e-05
659,-0.527471399959415,-0.247109329407043,0.185361635465722,2.27522908425355e-05,1.08966130274054e-05,-8.3563889497115e-06,8.41892323443514e-05,1.84635605143033e-05,-5.64404276295715e-05,2.66807215049005e-05,-9.95933540873791e-05,-3.3867682257331e-05,4.10363058865437e-05
